,star,emp type,review title,designation,pros,cons
58,4,"Current Employee, more than 1 year",Good place to work,12 Aug 2019 - Anonymous Employee in Pune,Company gives a good platform to learn and grow. Your work gets appreciated by some or the other way. Nice and flexible work environment which has helped to keep a overall work life balance and to put in time for other activities. Have always got support and guidance from seniors and reporting manger.,Nothing to say on this
59,4,Current Employee,Excellent,5 Nov 2019 - Anonymous Employee ,Work life balance is too good in xpanxion,Onsite opportunities are very poor in xpanxion
60,5,"Current Employee, more than 3 years",Excellent Place to work and grow,9 May 2019 - Anonymous Employee in Pune,"List is huge, but the critical ones are: 1. Real sense of agile culture where one has all the opportunity to grow if they have the will 2. The senior leadership team has ensured transparency to all the associates irrespective of the band you are working for 3. "" We value associates"" has been the focus area and has always adhered to it 4. A great working culture - helpful associates, vivid knowledgeable seniors",None that I have experienced till date
61,4,"Current Employee, more than 3 years",Life at Xpanxion,8 May 2019 - Senior QA Engineer in Pune,"Every fresher on joining a company has a dream of what will the company e like in terms of Work, Events, Outings, Ceremonial functions, etc, etc. I joined as a fresher here and all the dreams came true. The work-life balance at Xpanxion is great it's the exact thing that we all expect to be. Open Culture you can walk in at any time and can talk to whom so ever you want.",Onsite opportunities are less this is mainly based on the clients that you work with.
62,5,"Current Employee, more than 10 years",Great Culture,29 May 2019 - Manager in Pune,One of the best minds in product and test engineering space. Got an idea? Go and implement culture Heavy emphasis on skill building activities on latest and niche skills Employee oriented and open door policies. Great work life balance Projects on latest tech stacks with in-house frameworks across platforms Ambitious organization with phenomenal growth prospects,Nothing much as such. Finding parking space gets challenging at times.
63,4,Current Employee,Good Opportunity,26 Sep 2019 - Anonymous Employee ,"Great Environment, Good Skilled people, Niche",No Cons is there at Xpanxion
64,5,"Current Employee, more than 3 years",Good place to work for good work life balance,4 Aug 2019 - Software QA Engineer in Pune,good work-life balance but depends on which project you get. Central location offices,No onsite opportunities No WFH for everyone
65,5,"Current Employee, less than 1 year",A good company to Start your career with !,8 May 2019 - Senior Software Engineer in Pune,Helping environment. You can work with all the Senior people in the company. Interaction with CEO to all the managers is at ease. The on boarding process is very good where we come to know about the company on the first day itself. Overall a good start . strongly recommended as it is a employee centric org,No cons till now .
66,4,"Current Employee, more than 3 years","Xpanxion"" Title perfects suits ""Always ready to growth""",8 May 2019 - Senior QA Engineer in Pune,I am working with Xpanxion from last 3 years. I am very happy with the experience which I have. I have multiple things which can be definitely considered as an advantage. 1. Very Good Work Culture 2. Supportive people 3.Very good HR team 4. Best Managers 5. Best Technical employees 6. Scope for learning 7. Multiple opportunities you will get based on your skills,Still finding ...........! Still finding ...........!
67,3,Current Employee,Overall,6 Jan 2020 - Anonymous Employee ,All depends on project Good values,If possible choose project carefully
68,4,"Former Employee, less than 1 year",Admin Manager,16 Aug 2019 - Account Manager in Pune,Good People and Good Culture,Nothing as such. It can be better. But thats my individual thought.
69,5,"Current Employee, more than 1 year",Awesome Place to Work 👍,25 Jul 2019 - Software Engineer in Pune,"Culture, People, Management, Guidance are perfect to fit in pros",Nothing to share as a con
70,4,"Current Employee, more than 1 year",Good Company to work,9 May 2019 - Associate QA Lead in Pune,1. Company is taking care of individuals aspirations 2. More focus is on individual growth and new learning as per market standard 3. HR team and managers are very co-operative and approachable 4. People are very cooperative 5. Employee Friendly policies,"No found any critical comments, few minors ones are some projects are having long work hours and infrastructure can be improved."
71,5,"Current Employee, less than 1 year",Good company to work for software developers. I joined on 21st March 2019,14 Apr 2019 - Senior UI Engineer in Pune,#NAME?,#NAME?
72,5,"Former Employee, more than 1 year",Positive Experience While Starting Career,8 May 2019 - Trainee Engineer in Pune,"Began career with Xpanxion as trainee. The handholding done by mentors was good & taught me the technical as well as non technical aspects of being an IT professional. Even though I was new, everyone treated me as equal",Parking space needs to be larger
73,4,Current Employee,Great place to hone your technical skills,8 May 2019 - Anonymous Employee ,1 Gender diversity 2 Ample learning opportunities 3 Great work environment 5 Good leaders and managers to mentor,"I have not encountered anything significant that would be categorized as a ""con"""
74,4,Current Employee,Senior Test engineer,8 May 2019 - Anonymous Employee ,"Best location. Good salary compensation. Good Work life balance. Independent work is recognised. Management is approachable and helping. You can approach HRs, managers, DM, or even CEO at any time and share your thoughts or put your point. Career growth till team leader position. Overall Best company to work.",Nothing as cons. Overall good or nice company to work.
75,4,"Current Employee, more than 1 year",Growing Company,12 May 2019 - Senior UI Engineer in Pune,#NAME?,#NAME?
76,4,"Current Employee, less than 1 year",Great Organization with Nice environment,7 May 2019 - Senior Quality Assurance Engineer in Pune,1. As a new joinee you get enough time to get acquainted with company culture along with some mentor help 2.Latest technologies to work upon 3. Commute is great due to central location 4. Flexible work hours,Nothing to mention as such
77,4,"Current Employee, more than 8 years",One of the Best company to work for,23 Jun 2019 - Anonymous Employee ,Great Learning environment. Great Culture.,Ensure that your manager and senior members giving your feedback are happy with you.
78,4,"Current Employee, less than 1 year",Good,9 May 2019 - Management Trainee in Pune,"Work life balance Good for freshers, got so many opportunities to learn Staff is very friendly and helpful be it a new joiner or executive level Not just a company but a family :)","Nothing as such, but there is always a scope for improvement :)"
79,5,"Current Employee, less than 1 year",Positive Experience,15 May 2019 - Senior Software Engineer in Pune,1. Latest technology to work 2. Happy and friendly environment 3. Good talent here 4. Helping people if you stuck somewhere 5. Salary on Time 6. Polices are employee specific 7. Flexible work timing,Did not find any till date..
80,4,Current Employee,Good company with nice environment,8 May 2019 - Anonymous Employee ,I have been working with xpanxion from last 3 months. - Nice place to learn new technology as sessions are arranged on new topics. - HR faculty always ready to solve any queries. - Flexible work hours.,I have not faced about any cons yet.
81,5,"Current Employee, more than 3 years",Good,8 May 2019 - Senior Technical Leader in Pune,"A values based & driven organisation. good place for you to settle and grow. It’s a organization full of opportunities . The work life balance is outstanding and management is friendly. Employee oriented company, good training and enhancement programs.","Nothing, everything is good overall."
82,3,"Current Employee, more than 1 year",Software Devloper,24 Oct 2019 - Software Developer in Pune,1.Work From Home 2.Friendly People 3. Self growth opportunity,To much politics inside teams
83,5,"Former Employee, more than 1 year",A perfect place to grow! Absolutely People Centric!,"1 Apr 2019 - Executive Human Resources in Boston, MA",Huge scope to grow and learn more. Very helpful associates!,Need more publicity of the organization!
84,4,"Current Employee, more than 1 year",Great Place to Work !,"8 May 2019 - Anonymous Employee in Wauwatosa, WI",Good working culture Lots of learning opportunities You can directly interact with Your CEO & Top Management Flexible timings,Transportation facility is not available
85,5,Current Employee,Awesome,4 Jun 2019 - Anonymous Employee ,Xpanxion is a good place to work,none that i can think of
86,4,"Current Employee, more than 5 years",One of the best in Pune,29 Jan 2019 - Senior QA Automation in Milwa,1. Work lofe balance 2. Quality work. 3. Better people and work environment. 4. Work from home(Depends on the project) 5. Open culture and you can reach out to anyone very easily. 6. Good leave policy. 7. Flexible hours and much more...,1. It is not a big issue but you have to maintain 45 hours weekly. 2. No cab facility.
87,5,"Current Employee, less than 1 year",Review about Xpanxion,8 May 2019 - Anonymous Employee ,1) Flexible timings 2) Approachable Management 3) Great opportunity to Learn 4) No complex hierarchy structure,Not at this point of time.
88,5,"Current Employee, less than 1 year",Good Company and great culture,8 May 2019 - Anonymous Employee ,"Good work life balance and working environment, supportive management !",Havent experienced any till date .
89,3,Former Employee,Should you join Xpanxion,12 Aug 2019 - Anonymous Employee ,You will get good learning opportunities. You know each and every one in the company.,Politics. No time for family. Every 6 month you will be tested based on your skills and hike depends on that.
90,5,"Current Employee, more than 3 years",very nice environment,7 May 2019 - Software Engineer in Pune,everyone make you feel like home,as far as now no downsize.
91,3,"Former Employee, more than 1 year",QA Engineer,26 Jun 2019 - Senior QA Engineer in Pune,1.Good technologies to work on. 2.Various focus groups and essentials programs are conducted to help the employees. 3.Good salary. 4.Great company for a fresher to start the career with.,1.No work life balance in many projects. 2. Pathetic food in cafeteria. 3. No breakfast and dinner is available. 4. Micromanagement to an extent.
92,1,"Current Employee, more than 3 years",If you get Nothing then join Xpanxion on your own Risk,22 Feb 2019 - Senior Software Engineer ,I worked around 3 years and not observed any PRO's to mention here.,"Initially management was good,Managers HR ETC atleast work environment was good but now its just FAKE. HIRE and FIRE ..NO salary Hike..They give you hike of 2% - 3%..Which is negligible. Everybody is playing politics for their own benefit and demotivate you and no chances of growth. Until you are following their rules, they are good and once you ask for something eg.Salary,Project change or any work from home,long leaves etc behaviour will completely change.. When client will escalate you for some reason without your mistake, Management will not support you for sure. Now new management is too bad. Not much learning also.All projects are just going. Complete JOB INSECURITY."
93,4,Current Employee,Good company,24 Apr 2019 - Anonymous Employee ,good work environment less politics opportunities to learn,trying to grow fast leading to issues
94,2,"Former Employee, more than 1 year",xpanxion revisw,12 Aug 2019 - Anonymous Employee ,Good place to learn new Technology.,"Nothing goes in a planned way, no structure in the org"
95,4,Current Employee,Good place to work,27 Mar 2019 - Anonymous Employee ,"Excellent environment , good place to work and grow career",Did not observe till now
96,3,"Current Employee, more than 3 years",It depends on the project,5 Aug 2019 - Senior Software Engineer in Aundh,You get plenty of opportunities to grow,Hampers your work life balance
97,1,"Current Employee, less than 1 year",Manager do not have respect towards employees,1 Apr 2019 - Anonymous Employee ,Nothing I have found as such,Manager don't have sense to talk with the employee. Don't provide KT to the new joiners and expect that they should learn the project by themselves... isn't it manager duty to atleast provide one KT about the project to the new joiners Project is good but I don't know what the manager thinks of herself Why don't they understand that new joiners also need some time to go through the project and learn about the project..
98,4,Current Employee,Good Place to work,21 Feb 2019 - Anonymous Employee ,1. Takes care of employee 2. Open culture. 3. Various opportunities to explore new technologies,1. Less/No onsite opportunity 2. No other concerns
99,4,"Current Employee, less than 1 year",good positive,24 Dec 2018 - Java Developer Associate ,nice office love to see you again need one chance more,technical recruiter not good need change
100,3,"Current Employee, less than 1 year",Great opportunities available here for learning and growth,8 May 2019 - Management Trainee in Pune,Nice work environment Liberal working shifts,Not growing as per their abilities.
101,4,Former Employee,QA,9 Mar 2019 - Anonymous Employee ,Good work life balance and compensation,Don't go at client side
102,5,Current Employee,Excellent working environment,16 Nov 2018 - Anonymous Employee ,"Excellent working environment, good exposure, ability to enhance skills, excellent management and growing company. Office locations are central as well which makes commute very easy. Core values are imbibed at all levels.",Nothing much. Haven't observed anything
103,4,Current Employee,Nice company specially for QA.,28 Nov 2018 -  Anonymous Employee,New thing to learn for beginners as well as experienced.,"Cross platform integration, new tools of QA."
104,5,"Current Employee, more than 1 year",Xpanxioneur,16 Oct 2018 - Associate in Pune,"I get Freedom to Explore, Opportunities to learn and grow, and Flexibility and friendly and supportive environment.","They have office in Aundh and near RTO-Camp. I wish they had a single tower , in the middle of the city"
105,4,"Former Employee, more than 1 year",Employee Oriented,21 Nov 2018 - QA Engineer in Aundha,Employee oriented company with lot of activities and trainings provided,Working at client location of Xpanxion is not that great as you miss on all the benefits of the company
106,3,Current Employee,Nice,17 Apr 2019 - Anonymous Employee ,Nice salary. Snacks available Good culture,Management not good. If u r at client side then they will be delay in decisions.
107,1,"Former Employee, more than 1 year",Worst work environment and extreme politics,22 Apr 2019 - Anonymous Employee in Pune,Good work Location in Aundh,Worst Work Environment. CEO S.Ramprasad needs training on People management. High Attrition in HR team. Extreme politics in Support Functions. HR Managers need training on People Management
108,3,"Former Employee, more than 1 year",It was a good company to start with but changed over period,29 Jan 2019 - QA Lead ,"Open Culture, small group, scope for individual career growth","Partiality, local domination, arrogant management, no focus/vision"
109,3,"Current Employee, more than 3 years",Great place to start your career,21 Feb 2019 - Quality Analyst in Pune,"Good pay, Flexible hours depending on the project","Some projects are too hectic, no work life balance at all, no help from management"
110,5,"Current Employee, less than 1 year",Nice company work for.,11 Jul 2015 - Quality Analyst in Pune,+ Good salary (25-35%) hike while joining. + Learn and explore new technology + Opportunity to take ownership of your work. + Propose new innovative solutions/ Ideas + Good COE group initiatives. + Work & Personal Life balance + Nice work floor and infra ,- 0 Onsite opportunity. - Not big growth even its 16 years old company because CEO's do not want to expand business on large scale. - No excuse if you fail in project / daily task / Client escalations - Following process is sometime burden. - Project hour
111,4,"Current Employee, more than 1 year",Good Company To work in,28 Sep 2018 - Senior Software Engineer in Pune,"Good pay, work from home facility",They don't have project on latest upcoming java technology basically that depends on current project
112,1,"Current Employee, less than 1 year",Ridiculous staffing company,1 Feb 2019 - Senior Software Engineer in Pune,Only Pro is their location in Pune,Very weak leadership. Very high attrition. Spineless HR leadership who only say Yes to what business says. Top leadership is worst...they should actually retire but they do not want to leave their cushy job.
113,5,Current Employee,Great Employer,24 Sep 2018 - Anonymous Employee ,Great place to work and values talent,None as such to mention here
114,3,Former Employee,Good company,4 Jan 2019 - Anonymous Employee ,Good company for learning new technologies. They have good policies for employees.,Poor management and lots of politics
115,2,"Former Employee, more than 1 year","Good Workforce, Rudderless Management.",23 Nov 2016 - Anonymous Employee in Pune,"This review is specific to Xpanxion Pune Office. - Good at Intermediate Level of Experience. With the variety of projects/technologies, Xpanxion provides a good learning opportunity for professionals in mid experience level (2-5) - Some very good projects and very good people in - Good culture and people interaction - HR Team is really good at creating a nice and fun-filled environment and at time succeeds to ease out the stress of employees. -",- Work/Life Balance sucks in Pune Office. - Not much growth opportunities - People who have spent more time in company are considered more valuable and more intelligent than newcomers - Administration and Support Team(IT & Non IT) both are ineffective and
116,5,"Current Employee, more than 5 years",Xpanxion -Pune- A GREATTTTTTTT company to work with and grow along with it,14 May 2013 -  Anonymous Employee,"A company that values people and always keeps the needs of the employees on the forefront. I had joined this organization as a fresher and can gladly say that this is THE Company. There are mulitple reasons for me to continue to be associated with Xpanxion. It gives me the freedom and flexibility to voice my opinion with Sr. Mgmt and I have personally seen my feedback and opinion being acted upon positively. I have got exposure as well as support to work on various niche technologies and the company has a very good policy of allocating 2.5 hours of work time for personal and professional development per week. I was able to upgrade my skills and I am currently working on some cool features for a product company who is our esteemed client. I get to interact directly with client, which provides me an opportunity to hone my client facing skills as I aspire to get into a Technical Project Manager role eventually. The management takes a serious view on teams sitting late and ensures that the associates are able to maintain a better work-life balance. I think the greatest example I can quote about the greatness of this company is where employees quit Xpanxion but returned back to join as they felt that they missed the ""Personal Touch"" in the new organization they had joined. I got to go now as I am preparing for a demo and pretty excited about conducting this demo for the client.",As with all companies Xpanxion is not a perfect company. There are opportunities for improvement and that is where I reach out to our Senior Management for providing suggestions. There are constant changes in policies and procedures and processes but I think that is a sign of a growing company as changes are inevitable.
117,5,Current Employee,Focussed on people growth,11 May 2017 - Project Leader in Pune,"This is for the Pune office 1. If you are good at work you get opportunity to work on things that you want. 2. Management encourages you to take risks and helps you grow with constant encouragement and the right kind of work. 3. The resource management team works to find you work as per your aspirations and it's relatively fast when a project change is asked for if you feel your aspirations are different, like in my case I wanted to manage teams than be on tech, I got the opportunity. 4. They are growing and it's evident that Thier employees are a part of that growth story because people from delivery are also involved in strategy. 5. Fast track promotions, even back to back if you do well, management doesn't look at the years of experience but skill when promoting. 6. Fun place to work at, sometimes too many cultural events 7. People are driven here and focussed, management is empathetic towards the employees. 8. Learning is good as they conduct a lot of sessions from technology and behaviourial aspect. 9. Aundh location is good, lots of restaurants around","1. Food in pantry might be free but it can be healthier, it's usually fried snacks. 2. Infrastructure in the aundh office is old but the one at Pune station is good, again no game room in aundh office, a TV in the pantry or canteen will be great :). 3. The AHM or town halls can be boring, the management needs to make it more interesting so that people understand where the company is moving and where it is now. 4. Work life balance 5. Poor integration between the various locations especially for training, need to invest in technology there. 6. In the aundh office there are hardly any conference rooms most of them are cabins, it's difficult to conduct meetings as the rooms are always booked. 7. Small IT team for the size of the company, they are excellent but human, might need to think about increasing strength."
118,4,"Former Employee, more than 10 years",One of the best companies to work with,8 Mar 2016 - Senior Test Lead in Pune,The biggest strength of Xpanxion is People. Also work is challenging and one keeps learning continuously. The work culture is also very good.,"Though there are no any negatives per say, however onsite opportunities are quite limited. Apart from this i do not see any other area that should concern anyone."
119,4,"Former Employee, more than 3 years",An excellant organization to learn and test one's abilities,24 Jun 2013 - QA Engineer in Pune,Good technical work. In fact better than many large organizations. Challenging assignments and hence there is a lot to learn and sharpen the skills.,Small teams hence sometimes you are on your own. But the seniors in the organization are willing to help. The focus seems to be on the teams in US. Hopefully it should change.
